text,label,Pattern Category
FLASH SALE | LIMITED TIME ONLY Shop Now,1,Urgency
Pillowcases & Shams,0,Not Dark Pattern
Write a review,0,Not Dark Pattern
"To start your return, simply click on the following button and add your return details. Once the form is filled, you will receive an email with shipping instructions for how to ship the item(s) to our warehouse.",0,Not Dark Pattern
 newsletter signup (privacy policy) ,0,Not Dark Pattern
In demand,1,Scarcity
"We cannot guarantee door to door delivery for every customer. Buyers in remote areas such as farms, islands, mining camps, small towns, or out-of-towners, etc may need to collect from their nearest freight depot.",0,Not Dark Pattern
Hurry! Only 2 left in stock,1,Scarcity
In Stock only 3 left,1,Scarcity
International Shipping Policy,0,Not Dark Pattern
"Clothes, Shoes & Accessories",0,Not Dark Pattern
Hurry! Only 2 left,1,Scarcity
Primary Arms Scopes,0,Not Dark Pattern
ONLY 8 LEFT,1,Scarcity
MoTrail,0,Not Dark Pattern
LCD Ribbon Cables,0,Not Dark Pattern
READY FOR YOUR NEXT AUTHENTIC NHL JERSEY?,0,Not Dark Pattern
OUR BEST SELLING GOGGLE,1,Misdirection
"1,142 people have added to cart recently",1,Social Proof
Limited Availability,1,Scarcity
No thanks. I don't like free things...,1,Misdirection
 read you will want to read -- Five Book Group Favourites * Sunday Post *,0,Not Dark Pattern
 Supply & Demand ,0,Not Dark Pattern
"Michael in Pontiac, United States purchased a  ",1,Social Proof
Bathroom Lighting,0,Not Dark Pattern
 Shop Optics > ,0,Not Dark Pattern
9 people are viewing this.,1,Social Proof
"894 Claimed! Hurry, only a few left!",1,Scarcity
77 PEOPLE LIKE THIS,1,Social Proof
Girls Trousers,0,Not Dark Pattern
Specs,0,Not Dark Pattern
4 items left,1,Scarcity
HURRY! EXCLUSIVE DEAL FOR YOU! 1 4 : 4 5,1,Urgency
Offer ends in,1,Urgency
"Another babe in Alexandria, United States just ordered Flat Tummy Tea",1,Social Proof
Someone in Boling Iago Texas United States Purchased Seek Discomfort Sketch White iPhone Case 5 hours ago,1,Social Proof
More Info,0,Not Dark Pattern
Daystate FAC Air Rifles,0,Not Dark Pattern
"Keyboard Navigation Profile (Motor-Impaired): this profile enables motor-impaired persons to operate the website using the keyboard Tab, Shift+Tab, and the Enter keys. Users can also use shortcuts such as “M” (menus), “H” (headings), “F” (forms), “B” (buttons), and “G” (graphics) to jump to specific elements.",0,Not Dark Pattern
24 sold in last 24 hours.,1,Social Proof
 #CERTIFIED_FACE_MASKS ,0,Not Dark Pattern
Shop the Look,0,Not Dark Pattern
Kicks Remotes,0,Not Dark Pattern
Only 7 left in stock.,1,Scarcity
Whey Protein Isolate,0,Not Dark Pattern
 Cases for Magsafe Refine by Product Type: Cases for Magsafe ,0,Not Dark Pattern
Product Info,0,Not Dark Pattern
Someone from Norway purchased a Super FG Grater - 12x Faster - 15% OFF,1,Social Proof
 Sign In With Google ,0,Not Dark Pattern
Shop All,0,Not Dark Pattern
 You can change your preference here Shop for Select an age ,0,Not Dark Pattern
1 in Stock,1,Scarcity
 shop all ,0,Not Dark Pattern
Low Stock Alert: Only 8 left in inventory,1,Scarcity
Womens Platform Shoes,0,Not Dark Pattern
Screen print graphics,0,Not Dark Pattern
"IBKUL Solid Mock Neck Half Zip Pullover purchased from Clinton, MD, US 1 minute ago",1,Social Proof
Thin and tough - protects from minor scratches,0,Not Dark Pattern
Kimberly R.,0,Not Dark Pattern
I don't feel lucky,1,Misdirection
Only 3 items left,1,Scarcity
 Butterscotch Cakes ,0,Not Dark Pattern
"Someone in Saint Kilda, Victoria purchased Frank Queen Size Bed Base",1,Social Proof
Awntech New Yorker Window/Entry Slope Awnin ...,0,Not Dark Pattern
45 ADDED TO BAG IN THE PAST 24 HOURS,1,Social Proof
87% offers claimed. Hurry up!,1,Scarcity
HURRY! £32.99 UK DELIVERY ENDS SOON,1,Urgency
ONLY 3 LEFT,1,Scarcity
8 items left,1,Scarcity
19 people viewed this product per day,1,Social Proof
 Irwin ,0,Not Dark Pattern
96 ITEM(S) LEFT IN STOCK!,1,Scarcity
__________,0,Not Dark Pattern
Only 1 left In Stock,1,Scarcity
Availability: Only 4 Left!,1,Scarcity
 Personalised Gifts ,0,Not Dark Pattern
A customer service specialist will contact you soon.,0,Not Dark Pattern
Your order is reserved for 09:54 minutes!,1,Urgency
 Screws & Other Fixings ,0,Not Dark Pattern
Use the domain shortly after payment,0,Not Dark Pattern
Office Supplies & Decor,0,Not Dark Pattern
This size has only 1 left in stock,1,Scarcity
Arrow,0,Not Dark Pattern
Returns an Item,0,Not Dark Pattern
HOT PRODUCT Over 250 people are looking at this item.,1,Social Proof
I don't want to save money,1,Misdirection
HURRY! ONLY 2 LEFT IN STOCK!,1,Scarcity
Hair type: Curly,0,Not Dark Pattern
DEAL ENDS IN 40:55:13,1,Urgency
Someone bought: HYPE BLUE LARGE SPLAT KIDS LEGGINGS,1,Social Proof
Only 1 Left,1,Scarcity
Search for similiar products,0,Not Dark Pattern
Only 33 left,1,Scarcity
FAMILY SHADE PACK | PICK YOUR PACK,0,Not Dark Pattern
Promaster City Remotes,0,Not Dark Pattern
"Hurry, only a few left!",1,Scarcity
 V&A Collection People Tree’s collaboration with the Victoria and Albert Museum offers a stylish and contemporary capsule collection which celebrates the beauty and variety of pattern which the London museum is renowned for. ,0,Not Dark Pattern
Only 11 left!,1,Scarcity
Hurry! Only 6 left in stock,1,Scarcity
40 users are currently active on our website just now.,1,Social Proof
Hair Tools,0,Not Dark Pattern
Email Address*,0,Not Dark Pattern
 Send Us Your Jersey ,0,Not Dark Pattern
 View All Home Office Furniture ,0,Not Dark Pattern
Search Result:Search Results: ,0,Not Dark Pattern
90% offers claimed. Hurry up!,1,Scarcity
Tube Tops,0,Not Dark Pattern
"Mitchell H. Purchased a Dimplex IgniteXL 100"" Linear Built in Electric Fireplace",1,Social Proof
Hair type: Wavy,0,Not Dark Pattern
7 people looked at this product in the last 24 hours.,1,Social Proof
Glow Gear,0,Not Dark Pattern
18 In Stock,1,Scarcity
Someone in New Lynn bought a Kogan A1 Earphones with Inline Control for IOS/Android 1 hour ago.,1,Social Proof
00:15:07:45,1,Urgency
"No, I'll rather pay full price.",1,Misdirection
Only 9 Left.,1,Scarcity
Deals of the Week,0,Not Dark Pattern
" ... It covers love and loss, friendship and pain through ",0,Not Dark Pattern
1 person is viewing this,1,Social Proof
Your order is reserved for 09:14 minutes! ,1,Urgency
" Gift TypeFlowers, Cakes, Plants, etc. ",0,Not Dark Pattern
 CAMILLA World ,0,Not Dark Pattern
Sweep Train Simple A Line Tulle Wedding Dress with Appliques and Beading,0,Not Dark Pattern
Fun Treat Tossing,0,Not Dark Pattern
Limited time remaining!,1,Urgency
"No thanks, I'll pay full price",1,Misdirection
Your shopping bag is empty...,0,Not Dark Pattern
Trousers & Chinos,0,Not Dark Pattern
Only 7 left in stock!,1,Scarcity
Only 5 item(s) left.,1,Scarcity
 Chargers ,0,Not Dark Pattern
(only 5 left),1,Scarcity
 Eyelashes ,0,Not Dark Pattern
Pick the price that matches your budget. ,0,Not Dark Pattern
"Bringing the latest footwear, ‘fits and accessories from the biggest brands, the JD app makes coppin’ the hottest looks even easier!",0,Not Dark Pattern
Child Safety,0,Not Dark Pattern
 Cosmic Rainbow ,0,Not Dark Pattern
NRA Annual Meetings & Exhibits,0,Not Dark Pattern
ShoesBootsCasual ShoesFormal ShoesSandals & Flip-flopsShoe Care & AccessoriesSlippersSneakers & CanvasSports Shoes,0,Not Dark Pattern
 Moonstone Beads ,0,Not Dark Pattern
I'll Shop Without A Discount,1,Misdirection
Only 11 Left In Stock,1,Scarcity
 Netherlands Antilles USD,0,Not Dark Pattern
Was this product description useful?YesNo,0,Not Dark Pattern
Returns Information,0,Not Dark Pattern
TiesToys & GamesTravelWatches,0,Not Dark Pattern
Bought by 39 people in last few hours! HOT SELLER!,1,Social Proof
Books and Stationery,0,Not Dark Pattern
Your order is reserved for 08:48 minutes!,1,Urgency
11 11 Hours: 00 22 Minutes: 3223 3223 Seconds,1,Urgency
 Bioactive Custodians ,0,Not Dark Pattern
 Most-Hearted Styles Shop Now ,0,Not Dark Pattern
 Use a clean vase and clean water.,0,Not Dark Pattern
" well, this is awkward. ",0,Not Dark Pattern
@elsieandpresley_ got some fantastic color results with our Hair Color Wax. Well done 👏,0,Not Dark Pattern
 All Licensed ,0,Not Dark Pattern
Nursing chairs,0,Not Dark Pattern
Only 1 Item(s) left,1,Scarcity
Discount pending $10 OFF 00:30:00,1,Urgency
Juniors' Shoes,0,Not Dark Pattern
Limited Time: $10 Off! Discount Reflected In Price!,1,Urgency
Switchers,0,Not Dark Pattern
 Data Processor Privacy Policy: https://cookieinformation.com/cookie-and-privacy-policy ,0,Not Dark Pattern
Ribbons,0,Not Dark Pattern
"By clicking Sign Up, you agree to receive marketing text messages from Southern Tide at the number provided, including messages sent by autodialer. Consent is not a condition of any purchase. Message and data rates may apply. Message frequency varies. Reply HELP for help or STOP to cancel. View our Privacy Policy and Terms of Service.",0,Not Dark Pattern
IN 43 PEOPLE'S SHOPPING BAG,1,Social Proof
 Amethyst Beads ,0,Not Dark Pattern
Down Jackets,0,Not Dark Pattern
Hurry up! Prices increase in 0 DAYS 11 HRS 59 MINS 55 SECS,1,Urgency
"BERNARD in Philadelphia, United States purchased a",1,Social Proof
"NO THANKS, I DON’T MIND MISSING OUT",1,Misdirection
"Hurry, only 1 left!",1,Scarcity
Only 26 Left,1,Scarcity
7 sold in last 24 hours,1,Social Proof
Buy Wearables»,0,Not Dark Pattern
LAST CHANCE - UP TO 70% OFF - ENDS IN: 20 HRS 28 MINS 30 SECS,1,Urgency
 Watercolour Brushes Toggle category Watercolour Brushes ,0,Not Dark Pattern
LightInTheBox 掲載記事,0,Not Dark Pattern
Clear filter,0,Not Dark Pattern
HURRY UP > 09H 42M 39S,1,Urgency
 Sweats ,0,Not Dark Pattern
Q: Will this damage my hair?,0,Not Dark Pattern
Brandon Blackwood,0,Not Dark Pattern
"Someone in Sasebo, Japan just bought",1,Social Proof
80 Customers are considering this product right now.,1,Social Proof
88 PEOPLE VIEWED ITEM IN THE LAST 24 HOURS,1,Social Proof
 End Tables,0,Not Dark Pattern
ONLY 2 LEFT IN STOCK!,1,Scarcity
Only few items left in stock,1,Scarcity
Only 1.75 yards left in stock!,1,Scarcity
" Brilliant! Chose what I wanted, and came a week later. Very happy with my purchase ",0,Not Dark Pattern
71 people have purchased this item,1,Social Proof
Only 8 left,1,Scarcity
Subscribe & Save,1,Misdirection
"We use cookies to improve our services, make personal offers, and enhance your experience. If you do not accept optional cookies below, your experience may be affected. If you want to know more, please, read the Cookie Policy",0,Not Dark Pattern
"Long Dress Style Beach Cover Up With Lace Detail Jessica in Metairie, United States",1,Social Proof
"Someone in Kilwinning, United Kingdom just bought Cuban Link Chain Bracelet",1,Social Proof
00DAYS00HOURS14MINUTES21SECONDS,1,Urgency
